Date,current_price,portfolio_pnl,portfolio_value,position,postion_pnl,capital,holding,action
2015-09-28,6609.14,2328.22,12658.67,6939.59,-330.45,5719.08,1.0,2.0
2015-09-29,6774.36,2493.44,12658.67,6939.59,-165.23,5719.08,1.0,2.0
2015-09-30,6691.75,2410.83,12658.67,6939.59,-247.84,5719.08,1.0,0.0
2015-10-01,6774.36,2493.44,12493.44,0.0,0.0,12493.44,0.0,1.0
2015-10-02,6691.75,2493.44,12493.44,0.0,0.0,12493.44,0.0,2.0
2015-10-05,6691.75,2493.44,12493.44,6691.75,0.0,5801.69,1.0,0.0
2015-10-06,7022.21,2823.9,12493.44,6691.75,330.46,5801.69,1.0,2.0
2015-10-07,6774.36,2576.05,12493.44,6691.75,82.61,5801.69,1.0,0.0
2015-10-08,6939.59,2741.28,12741.28,0.0,0.0,12741.28,0.0,1.0
2015-10-09,6856.98,2741.28,12741.28,0.0,0.0,12741.28,0.0,1.0
2015-10-12,6856.98,2741.28,12741.28,6856.98,0.0,5884.3,1.0,0.0
2015-10-13,6774.36,2658.66,12658.66,0.0,0.0,12658.66,0.0,1.0
2015-10-14,6691.75,2658.66,12658.66,6691.75,0.0,5966.91,1.0,0.0
2015-10-15,6691.75,2658.66,12658.66,6691.75,0.0,5966.91,1.0,0.0
2015-10-16,6691.75,2658.66,12658.66,0.0,0.0,12658.66,0.0,1.0
2015-10-19,6691.75,2658.66,12658.66,0.0,0.0,12658.66,0.0,2.0
2015-10-20,6609.14,2658.66,12658.66,6609.14,0.0,6049.52,1.0,0.0
2015-10-21,6361.29,2410.81,12658.66,6609.14,-247.85,6049.52,1.0,0.0
2015-10-22,6526.52,2576.04,12658.66,6609.14,-82.62,6049.52,1.0,0.0
2015-10-23,6526.52,2576.04,12658.66,6609.14,-82.62,6049.52,1.0,0.0
2015-10-26,6278.68,2328.2,12658.66,6609.14,-330.46,6049.52,1.0,0.0
2015-10-27,6278.68,2328.2,12658.66,6609.14,-330.46,6049.52,1.0,0.0
2015-10-28,6113.45,2162.97,12658.66,6609.14,-495.69,6049.52,1.0,0.0
2015-10-29,6361.29,2410.81,12410.81,0.0,0.0,12410.81,0.0,1.0
2015-10-30,6196.07,2410.81,12410.81,0.0,0.0,12410.81,0.0,2.0
2015-11-02,6196.07,2410.81,12410.81,0.0,0.0,12410.81,0.0,2.0
2015-11-03,6196.07,2410.81,12410.81,12392.14,0.0,18.67,2.0,0.0
2015-11-04,6196.07,2410.81,12410.81,12392.14,0.0,18.67,2.0,0.0
2015-11-05,6278.68,2576.03,12410.81,12392.14,165.22,18.67,2.0,2.0
2015-11-06,6030.84,2080.35,12080.35,0.0,0.0,12080.35,0.0,1.0
2015-11-09,6030.84,2080.35,12080.35,12061.68,0.0,18.67,2.0,0.0
2015-11-10,5948.22,1915.11,12080.35,12061.68,-165.24,18.67,2.0,0.0
2015-11-11,5783.0,1584.67,12080.35,12061.68,-495.68,18.67,2.0,0.0
2015-11-12,5783.0,1584.67,11584.67,0.0,0.0,11584.67,0.0,1.0
2015-11-13,5700.38,1584.67,11584.67,0.0,0.0,11584.67,0.0,2.0
2015-11-16,6196.07,1584.67,11584.67,0.0,0.0,11584.67,0.0,2.0
2015-11-17,6113.45,1584.67,11584.67,0.0,0.0,11584.67,0.0,2.0
2015-11-18,6113.45,1584.67,11584.67,0.0,0.0,11584.67,0.0,1.0
2015-11-19,6278.68,1584.67,11584.67,0.0,0.0,11584.67,0.0,1.0
2015-11-20,6278.68,1584.67,11584.67,0.0,0.0,11584.67,0.0,1.0
2015-11-23,6526.52,1584.67,11584.67,6526.52,0.0,5058.15,1.0,0.0
2015-11-24,6443.91,1502.06,11502.06,0.0,0.0,11502.06,0.0,1.0
2015-11-25,6774.36,1502.06,11502.06,6774.36,0.0,4727.7,1.0,0.0
2015-11-26,6856.98,1584.68,11502.06,6774.36,82.62,4727.7,1.0,2.0
2015-11-27,6443.91,1171.61,11502.06,6774.36,-330.45,4727.7,1.0,2.0
2015-11-30,6196.07,923.77,11502.06,6774.36,-578.29,4727.7,1.0,0.0
2015-12-01,6113.45,841.15,11502.06,6774.36,-660.91,4727.7,1.0,2.0
2015-12-02,6196.07,923.77,11502.06,6774.36,-578.29,4727.7,1.0,0.0
2015-12-03,6278.68,1006.38,11502.06,6774.36,-495.68,4727.7,1.0,2.0
2015-12-04,6196.07,923.77,11502.06,6774.36,-578.29,4727.7,1.0,0.0
2015-12-07,6196.07,923.77,11502.06,6774.36,-578.29,4727.7,1.0,2.0
2015-12-08,6196.07,923.77,11502.06,6774.36,-578.29,4727.7,1.0,2.0
2015-12-09,6113.45,841.15,11502.06,6774.36,-660.91,4727.7,1.0,2.0
2015-12-10,5865.6,593.3,11502.06,6774.36,-908.76,4727.7,1.0,2.0
2015-12-11,5948.22,675.92,11502.06,6774.36,-826.14,4727.7,1.0,0.0
2015-12-14,5865.6,593.3,11502.06,6774.36,-908.76,4727.7,1.0,0.0
2015-12-15,6113.45,841.15,10841.15,0.0,0.0,10841.15,0.0,1.0
2015-12-16,6030.84,841.15,10841.15,6030.84,0.0,4810.31,1.0,0.0
2015-12-17,6030.84,841.15,10841.15,0.0,0.0,10841.15,0.0,1.0
2015-12-18,5948.22,841.15,10841.15,0.0,0.0,10841.15,0.0,1.0
2015-12-21,5865.6,841.15,10841.15,5865.6,0.0,4975.55,1.0,0.0
2015-12-22,5865.6,841.15,10841.15,5865.6,0.0,4975.55,1.0,0.0
2015-12-23,5783.0,758.55,10841.15,5865.6,-82.6,4975.55,1.0,2.0
2015-12-24,5783.0,758.55,10841.15,5865.6,-82.6,4975.55,1.0,0.0
2015-12-25,5617.77,593.32,10841.15,5865.6,-247.83,4975.55,1.0,0.0
2015-12-28,5535.15,510.7,10841.15,5865.6,-330.45,4975.55,1.0,2.0
2015-12-29,5617.77,593.32,10841.15,5865.6,-247.83,4975.55,1.0,0.0
2015-12-30,5700.38,675.93,10841.15,5865.6,-165.22,4975.55,1.0,2.0
2015-12-31,5617.77,593.32,10841.15,5865.6,-247.83,4975.55,1.0,2.0
2016-01-01,5617.77,593.32,10841.15,5865.6,-247.83,4975.55,1.0,0.0
2016-01-04,5535.15,510.7,10510.7,0.0,0.0,10510.7,0.0,1.0
2016-01-05,5369.93,510.7,10510.7,0.0,0.0,10510.7,0.0,2.0
2016-01-06,5452.53,510.7,10510.7,0.0,0.0,10510.7,0.0,2.0
