Date,current_price,portfolio_pnl,position,postion_pnl,capital,holding,action,portfolio_value,sortino,mean3,mean5,mean10,mean20,mean50,std3,std5,std10,std20,std50,sortino_delta,returns,benchmark
2013-09-24,26.3759,4046.2708,29039.8659,0.0,6.4049,1101.0,1.0,29046.2708,-5.9991,26.3507,26.4816,26.2214,25.4925,24.0146,0.052,0.2023,0.3204,0.9214,1.5786,5.6077,1.161850832,1.22979475368
2013-09-25,26.8476,4564.1125,29559.2076,519.3417,4.9049,1101.0,1.0,29564.1125,-6.0037,26.5363,26.54,26.2882,25.6331,24.1327,0.2696,0.2623,0.3756,0.9017,1.5647,5.9991,1.1825645,1.25178809553
2013-09-26,27.14,4875.0349,0.0,0.0,29875.0349,0.0,2.0,29875.0349,-6.1168,26.7878,26.608,26.4078,25.779,24.2509,0.3855,0.3689,0.4389,0.8975,1.5643,6.0037,1.195001396,1.26542144969
2013-09-27,27.0362,4873.5349,0.0,0.0,29873.5349,0.0,2.0,29873.5349,-6.2228,27.0079,26.757,26.5301,25.915,24.3598,0.1483,0.3593,0.4249,0.8698,1.5648,6.1168,1.194941396,1.26058170221
2013-09-30,27.0362,4873.5349,0.0,0.0,29873.5349,0.0,0.0,29873.5349,-5.801,27.0708,26.8872,26.6478,26.073,24.4684,0.0599,0.3047,0.379,0.7599,1.5582,6.2228,1.194941396,1.26058170221
2013-10-01,27.6306,4872.0349,0.0,0.0,29872.0349,0.0,2.0,29872.0349,-5.801,27.2343,27.1381,26.8099,26.2298,24.5879,0.3431,0.2948,0.4202,0.7404,1.5672,5.801,1.194881396,1.28829601723
2013-10-02,27.9419,4870.5349,0.0,0.0,29870.5349,0.0,2.0,29870.5349,-8.2821,27.5362,27.357,26.9485,26.3871,24.712,0.4601,0.4092,0.5389,0.7539,1.5825,5.801,1.194821396,1.30281059709
2013-10-03,27.7343,4870.5349,0.0,0.0,29870.5349,0.0,0.0,29870.5349,-9.5884,27.7689,27.4758,27.0419,26.5222,24.8315,0.1585,0.4167,0.589,0.7402,1.5805,8.2821,1.194821396,1.29313110214
2013-10-04,28.2343,4870.5349,0.0,0.0,29870.5349,0.0,0.0,29870.5349,-8.7245,27.9702,27.7155,27.2362,26.6734,24.9496,0.2512,0.4442,0.6326,0.7666,1.6102,9.5884,1.194821396,1.31644395125
2013-10-07,27.8286,4869.0349,0.0,0.0,29869.0349,0.0,2.0,29869.0349,-10.8052,27.9324,27.8739,27.3806,26.7878,25.0561,0.2656,0.232,0.5793,0.7592,1.6211,8.7245,1.194761396,1.29752790548
